city,country,growth,latitude,longitude,population,year,continent,gdp_per_capita,ECI,hdi
flint,united states,Developed economies,43.0125274,-83.6874562,335354,2011,Northern America,59928,1.75541,0.92
san josé,costa rica,Developing economies,9.9280694,-84.0907246,342188,2011,Central America,16976,0.237988,0.794
montecito,united states,Developed economies,34.4366626,-119.6320753,8984,2011,Northern America,59928,1.75541,0.92
denver,united states,Developed economies,39.7392358,-104.990251,693060,2011,Northern America,59928,1.75541,0.92
buenos aires,argentina,Developing economies,-34.6036844,-58.3815591,3054300,2011,South America,20843,0.232335,0.83
óbidos municipality,portugal,Developed economies,39.3604212,-9.1582014,0,2011,Southern Europe,32554,0.258555,0.85
lucerne,switzerland,Developed economies,47.0501682,8.3093072,81401,2011,Western Europe,66300,2.24386,0.946
berkeley,united states,Developed economies,37.8715226,-122.273042,121240,2011,Northern America,59928,1.75541,0.92
durham,united states,Developed economies,35.9940329,-78.898619,263016,2011,Northern America,59928,1.75541,0.92
champaign,united states,Developed economies,40.1164204,-88.2433829,156794,2011,Northern America,59928,1.75541,0.92
porto alegre,brazil,Developing economies,-30.0346471,-51.2176584,114650,2011,South America,15662,0.608252,0.761
goa,india,Developing economies,15.2993265,74.123996,0,2011,Southern Asia,7169,0.359807,0.647
